dgp	bart_path	n	alpha	test_thresh	n_min	learner	strategy	bonf_strategy	n_burn_in	margin_width	train_ratio	reveal_batch_prop	refit_batch_prop	n_sims	save_subgroup_membership	task_id	random_seed
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	0	1608637542
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	1	3421126067
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	2	4083286876
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	3	787846414
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	4	3143890026
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	5	3348747335
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	6	2571218620
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	7	2563451924
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	8	670094950
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	9	1914837113
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	10	669991378
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	11	429389014
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	12	249467210
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	13	1972458954
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	14	3720198231
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	15	1433267572
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	16	2581769315
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	17	613608295
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	18	3041148567
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	19	2795544706
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	20	88409749
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	21	242285876
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	22	4165731073
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	23	3100961111
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	24	3575313899
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	25	4031053213
BARTDataset	/n/home04/ncheng/research/chiseling/chiseling/notebooks/bart_analysis/bart_dataset_processed.tsv.gz	500	0.05	0.3	30	causal_random_forest_classifier_learner	Chiseling		0.1	0.0		0.01	0.05	25	False	26	911989541
