dgp	n	d	s	rho	theta	tau	alpha	test_thresh	learner	binary	subgroup_size	strategy	bonf_strategy	n_burn_in	reveal_batch_prop	refit_batch_prop	n_min	margin_width	alpha_min	use_learner_weights	train_ratio	n_sims	task_id	random_seed
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	0	1608637542
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	1	3421126067
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	2	4083286876
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	3	787846414
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	4	3143890026
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	5	3348747335
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	6	2571218620
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	7	2563451924
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	8	670094950
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	9	1914837113
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	10	669991378
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	11	429389014
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	12	249467210
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	13	1972458954
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	14	3720198231
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	15	1433267572
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	16	2581769315
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	17	613608295
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	18	3041148567
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	19	2795544706
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	20	88409749
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	21	242285876
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	22	4165731073
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	23	3100961111
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	0.0	0.0	False		100	24	3575313899
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	1.0	0.0	False		100	25	4031053213
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	1.0	0.0	False		100	26	911989541
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	1.0	0.0	False		100	27	3344769
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	1.0	0.0	False		100	28	780932287
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	1.0	0.0	False		100	29	4261516219
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	1.0	0.0	False		100	30	787716372
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	1.0	0.0	False		100	31	2652062880
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	1.0	0.0	False		100	32	1306710475
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	1.0	0.0	False		100	33	2627030329
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	1.0	0.0	False		100	34	2253811733
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	1.0	0.0	False		100	35	30349564
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	1.0	0.0	False		100	36	1855189739
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	1.0	0.0	False		100	37	99052376
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	1.0	0.0	False		100	38	1250819632
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	1.0	0.0	False		100	39	2253890010
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	1.0	0.0	False		100	40	2627888186
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	1.0	0.0	False		100	41	1717389822
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	1.0	0.0	False		100	42	599121577
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	1.0	0.0	False		100	43	200427519
BasicBinaryRegression	1000	100	5	0.2	2.0	2.2	0.05	0.9	logreg_learner	True	0.5	Chiseling		0.1	0.01	0.05	30	1.0	0.0	False		100	44	1254751707
