dgp	n	sigma	tau	alpha	test_thresh	learner	subgroup_size	strategy	bonf_strategy	n_burn_in	margin_width	train_ratio	n_min	reveal_batch_prop	refit_batch_prop	n_sims	task_id	random_seed
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	0	1608637542
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	1	3421126067
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	2	4083286876
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	3	787846414
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	4	3143890026
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	5	3348747335
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	6	2571218620
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	7	2563451924
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	8	670094950
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	9	1914837113
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	10	669991378
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	11	429389014
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	12	249467210
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	13	1972458954
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	14	3720198231
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	15	1433267572
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	16	2581769315
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	17	613608295
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	18	3041148567
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	19	2795544706
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	20	88409749
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	21	242285876
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	22	4165731073
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	23	3100961111
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	24	3575313899
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	25	4031053213
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	26	911989541
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	27	3344769
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	28	780932287
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	29	4261516219
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	30	787716372
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	31	2652062880
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	32	1306710475
KangSchaferRCT	500	125	24.45	0.05	0	ridgecv_learner	0.75	Chiseling		0.1	0.0		30	0.01	0.05	50	33	2627030329
