dgp	n	d	q	tau	tau0	alpha	test_thresh	learner	task_label	strategy	n_burn_in	margin_width	alpha_init	n_min	reveal_batch_prop	refit_batch_prop	n_sims	task_id	random_seed
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	0	1608637542
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	1	3421126067
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	2	4083286876
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	3	787846414
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	4	3143890026
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	5	3348747335
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	6	2571218620
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	7	2563451924
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	8	670094950
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	9	1914837113
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	10	669991378
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	11	429389014
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	12	249467210
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	13	1972458954
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	14	3720198231
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	15	1433267572
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	16	2581769315
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	17	613608295
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	18	3041148567
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	19	2795544706
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	20	88409749
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	21	242285876
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	22	4165731073
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	23	3100961111
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	24	3575313899
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	25	4031053213
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	26	911989541
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	25	27	3344769
