dgp	n	d	q	tau	tau0	alpha	test_thresh	learner	task_label	strategy	n_burn_in	margin_width	alpha_init	n_min	reveal_batch_prop	refit_batch_prop	n_sims	task_id	random_seed
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	0	1608637542
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	1	3421126067
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	2	4083286876
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	3	787846414
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	4	3143890026
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	5	3348747335
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	6	2571218620
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	7	2563451924
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	8	670094950
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	9	1914837113
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	10	669991378
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	11	429389014
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	12	249467210
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	13	1972458954
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	14	3720198231
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	15	1433267572
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	16	2581769315
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	17	613608295
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	18	3041148567
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	19	2795544706
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	20	88409749
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	21	242285876
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	22	4165731073
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	23	3100961111
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	24	3575313899
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	25	4031053213
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	26	911989541
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	27	3344769
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	28	780932287
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	29	4261516219
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	30	787716372
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	31	2652062880
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	32	1306710475
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	33	2627030329
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	34	2253811733
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	35	30349564
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	36	1855189739
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	37	99052376
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	38	1250819632
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	39	2253890010
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	40	2627888186
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	41	1717389822
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	42	599121577
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	43	200427519
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	44	1254751707
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	45	4182248123
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	46	1573512143
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	47	999745294
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	48	1958805693
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	49	389151677
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	50	3372305070
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	51	2655947709
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	52	857592370
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	53	1642661739
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	54	2208620086
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	55	4222944499
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	56	2544401215
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	57	2004731384
LinearNonNegRCT	1000	5	0.1	1.0	0.0	0.05	0	linreg_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.01	50	58	199502978
