dgp	n	d	s	q	tau	tau0	alpha	test_thresh	learner	task_label	strategy	n_burn_in	margin_width	alpha_init	n_min	reveal_batch_prop	refit_batch_prop	n_sims	task_id	random_seed
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	0	1608637542
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	1	3421126067
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	2	4083286876
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	3	787846414
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	4	3143890026
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	5	3348747335
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	6	2571218620
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	7	2563451924
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	8	670094950
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	9	1914837113
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	10	669991378
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	11	429389014
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	12	249467210
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	13	1972458954
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	14	3720198231
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	15	1433267572
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	16	2581769315
NonNegRCT	1000	2	2	0.1	1.0	0.0	0.05	0	nonneg_rct_causal_random_forest_learner	nonneg	Chiseling	0.1	1.0	0.025	30	0.01	0.05	25	17	613608295
