dgp	alpha	SPECIAL_TOKEN_NULLDGPS	n	d	binary	cov_type	err_type	SPECIAL_TOKEN_NULLDGPS_TRANSFORM_TYPE	test_thresh	learner	strategy	n_burn_in	margin_width	reveal_batch_prop	refit_batch_prop	n_min	shrink_to_boundary	n_sims	task_id	random_seed
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	0	1608637542
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	1	3421126067
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	2	4083286876
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	3	787846414
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	4	3143890026
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	5	3348747335
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	6	2571218620
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	7	2563451924
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	8	670094950
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	9	1914837113
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	10	669991378
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	11	429389014
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	12	249467210
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	13	1972458954
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	14	3720198231
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	15	1433267572
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	16	2581769315
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	17	613608295
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	18	3041148567
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	19	2795544706
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	20	88409749
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	21	242285876
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	22	4165731073
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	23	3100961111
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	24	3575313899
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	25	4031053213
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	26	911989541
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	27	3344769
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	28	780932287
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	29	4261516219
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	30	787716372
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	31	2652062880
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	32	1306710475
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	33	2627030329
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	34	2253811733
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	35	30349564
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	36	1855189739
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	37	99052376
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	38	1250819632
NullDGPs	0.05	True	100	50	True	corrnorm	none	none	0.5	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	39	2253890010
NullDGPs	0.05	True	100	100	True	binary	none	none	0.5	mlp_regressor_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	40	2627888186
NullDGPs	0.05	True	100	100	True	binary	none	none	0.5	mlp_regressor_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	41	1717389822
NullDGPs	0.05	True	100	100	True	binary	none	none	0.5	mlp_regressor_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	42	599121577
NullDGPs	0.05	True	100	100	True	binary	none	none	0.5	mlp_regressor_learner	Chiseling	0.1	1	0.05	0.1	30	True	250	43	200427519
