dgp	benchtm_path	n	scenario	outcome_transform	alpha	test_thresh	learner	strategy	bonf_strategy	n_burn_in	reveal_batch_prop	refit_batch_prop	margin_width	train_ratio	reveal_batch_size	refit_batch_size	n_sims	task_id	random_seed
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	0	1608637542
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	1	3421126067
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	2	4083286876
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	3	787846414
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	4	3143890026
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	5	3348747335
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	6	2571218620
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	7	2563451924
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	8	670094950
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	9	1914837113
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	10	669991378
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	11	429389014
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	12	249467210
BenchTM	/n/holylabs/janson_lab/Users/ncheng/chiseling/benchtm/processed_output/	500	1	aipw_intercept_fair	0.05	0	causal_random_forest_learner	Chiseling		0.1	0.01	0.05	0.0		5.0	25.0	50	13	1972458954
