dgp	n	d	s	rho	theta	tau	alpha	test_thresh	learner	subgroup_size	strategy	bonf_strategy	n_burn_in	margin_width	train_ratio	n_min	n_sims	task_id	random_seed
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	0	1608637542
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	1	3421126067
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	2	4083286876
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	3	787846414
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	4	3143890026
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	5	3348747335
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	6	2571218620
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	7	2563451924
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	8	670094950
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	9	1914837113
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	10	669991378
HeterogeneousLinearRCT	1000	100	5	0.2	0.4	0.0	0.05	0	ridgecv_learner	0.5	Chiseling		0.1	0.0		30	100	11	429389014
