dgp	n	d	q	tau	alpha	test_thresh	learner	strategy	n_burn_in	margin_width	alpha_init	refit_batch_prop	reveal_batch_prop	train_ratio	n_min	n_sims	task_id	random_seed
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	0	1608637542
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	1	3421126067
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	2	4083286876
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	3	787846414
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	4	3143890026
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	5	3348747335
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	6	2571218620
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	7	2563451924
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	8	670094950
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	9	1914837113
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	10	669991378
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	11	429389014
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	12	249467210
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	13	1972458954
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	14	3720198231
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	15	1433267572
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	16	2581769315
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	17	613608295
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	18	3041148567
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	19	2795544706
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	20	88409749
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	21	242285876
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	22	4165731073
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	23	3100961111
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.0	0.01	0.01		30	100	24	3575313899
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	25	4031053213
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	26	911989541
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	27	3344769
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	28	780932287
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	29	4261516219
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	30	787716372
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	31	2652062880
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	32	1306710475
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	33	2627030329
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	34	2253811733
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	35	30349564
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	36	1855189739
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	37	99052376
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	38	1250819632
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	39	2253890010
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	40	2627888186
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	41	1717389822
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	42	599121577
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	43	200427519
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	44	1254751707
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	45	4182248123
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	46	1573512143
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	47	999745294
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	48	1958805693
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.2	1.0	0.025	0.01	0.01		30	100	49	389151677
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.5	1.0	0.0	0.01	0.01		30	100	50	3372305070
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.5	1.0	0.0	0.01	0.01		30	100	51	2655947709
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.5	1.0	0.0	0.01	0.01		30	100	52	857592370
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.5	1.0	0.0	0.01	0.01		30	100	53	1642661739
LinearNonNegRCT	1000	5	0.1	0.0	0.05	0	linreg_learner	Chiseling	0.5	1.0	0.0	0.01	0.01		30	100	54	2208620086
