dgp	alpha	SPECIAL_TOKEN_NULLDGPS	n	d	binary	cov_type	err_type	SPECIAL_TOKEN_NULLDGPS_TRANSFORM_TYPE	test_thresh	learner	strategy	n_burn_in	margin_width	reveal_batch_prop	refit_batch_prop	shrink_to_boundary	n_min	n_sims	task_id	random_seed
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	0	1608637542
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	1	3421126067
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	2	4083286876
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	3	787846414
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	4	3143890026
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	5	3348747335
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	6	2571218620
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	7	2563451924
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	8	670094950
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	9	1914837113
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	10	669991378
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	11	429389014
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	12	249467210
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	13	1972458954
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	14	3720198231
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	15	1433267572
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	16	2581769315
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	17	613608295
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	18	3041148567
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	19	2795544706
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	20	88409749
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	21	242285876
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	22	4165731073
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	23	3100961111
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	24	3575313899
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	25	4031053213
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	26	911989541
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	27	3344769
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	28	780932287
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	29	4261516219
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	30	787716372
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	31	2652062880
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	32	1306710475
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	33	2627030329
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	34	2253811733
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	35	30349564
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	36	1855189739
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	37	99052376
NullDGPs	0.05	True	4000	50	False	corrnorm	expo	ipw	0	ridgecv_learner	Chiseling	0.1	1	0.05	0.1	True	400	25	38	1250819632
