task_id	dgp	n	d	s_prog	s_effect	theta_prog	theta_effect	tau	ipw_transform	alpha	random_seed	strategy	test_thresh	learner	n_burn_in	n_min	margin_width	alpha_min	alpha_spending_fn	substitute_t_test	train_ratio	n_sims	task_label
0	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1608637542	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
1	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3421126067	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
2	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	4083286876	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
3	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	787846414	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
4	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3143890026	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
5	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3348747335	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
6	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2571218620	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
7	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2563451924	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
8	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	670094950	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
9	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1914837113	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
10	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	669991378	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
11	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	429389014	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
12	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	249467210	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
13	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1972458954	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
14	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3720198231	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
15	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1433267572	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
16	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2581769315	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
17	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	613608295	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
18	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3041148567	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
19	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2795544706	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
20	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	88409749	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
21	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	242285876	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
22	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	4165731073	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
23	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3100961111	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
24	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3575313899	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
25	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	4031053213	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
26	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	911989541	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
27	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	3344769	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
28	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	780932287	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
29	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	4261516219	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
30	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	787716372	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
31	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2652062880	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
32	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1306710475	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
33	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2627030329	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
34	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2253811733	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
35	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	30349564	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
36	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1855189739	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
37	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	99052376	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
38	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1250819632	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
39	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2253890010	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
40	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	2627888186	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
41	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1717389822	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
42	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	599121577	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
43	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	200427519	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
44	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1254751707	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
45	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	4182248123	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
46	BasicLinearRCT	500	20	20	20	0	0.4	0	True	0.05	1573512143	Chiseling	0	linreg_learner	0.05	2	0	0	instantaneous	True		50	chiseling
